match_id,patch,team_a_top,team_a_jg,team_a_mid,team_a_adc,team_a_sup,team_b_top,team_b_jg,team_b_mid,team_b_adc,team_b_sup,team_a_win
NA1_5509711544,16.5,Ambessa,XinZhao,Malphite,Jhin,Xerath,Vayne,Ekko,Sylas,Caitlyn,Nami,1
NA1_5507119754,16.5,Aatrox,Ambessa,Ryze,MissFortune,FiddleSticks,Orianna,Lillia,Quinn,Jhin,Bard,0
NA1_5511004952,16.5,KSante,MonkeyKing,Ahri,Lucian,Alistar,Zaahen,JarvanIV,Vex,Hwei,Nami,0
NA1_5510718566,16.5,Ornn,Vayne,Mel,Kaisa,Nami,Urgot,Sylas,Chogath,Sett,Senna,1
NA1_5509138879,16.5,Darius,Nocturne,Yone,Kaisa,Bard,Jax,LeeSin,Aurora,Smolder,Braum,1
NA1_5509111964,16.5,Gwen,MasterYi,Irelia,Smolder,Karma,Singed,Elise,Zed,Lucian,Bard,0
NA1_5510954384,16.5,Sett,Ivern,Ahri,Jinx,Karma,Yone,Elise,Sylas,Zeri,Pyke,1
NA1_5506199419,16.5,Gnar,Shen,Sett,Ziggs,Alistar,Quinn,Shaco,Sylas,Yasuo,Janna,1
NA1_5510940272,16.5,Jayce,Nocturne,Riven,Seraphine,Rakan,Renekton,Kindred,Ahri,Xayah,Janna,1
NA1_5509745814,16.5,Sett,Shaco,Yasuo,Ashe,Velkoz,Volibear,Viego,Jayce,KogMaw,Lulu,0
NA1_5510964055,16.5,Trundle,Khazix,Ekko,Corki,Nautilus,Varus,Zyra,Vladimir,Vayne,Blitzcrank,0
NA1_5506708018,16.5,Garen,Brand,Lux,Jinx,Maokai,Riven,MonkeyKing,Sylas,Yunara,Nami,0
NA1_5506135361,16.5,Aatrox,Sylas,Annie,Jhin,JarvanIV,KSante,Khazix,Lissandra,Tristana,Rakan,1
NA1_5506653262,16.5,Jayce,MonkeyKing,Zilean,Lucian,Milio,Olaf,Udyr,Ryze,Jinx,Alistar,1
NA1_5506097547,16.5,Ambessa,Belveth,Sylas,Veigar,Nautilus,Aurora,RekSai,Illaoi,Ezreal,Rakan,1
NA1_5508849954,16.5,Ambessa,Shaco,Veigar,Yunara,Thresh,Shen,Ivern,Zed,Smolder,Neeko,0
NA1_5506006686,16.5,Garen,Nocturne,Swain,Velkoz,Leona,Ryze,Zaahen,AurelionSol,Caitlyn,Pyke,0
NA1_5509380660,16.5,Kled,Kayn,Yone,Mel,Janna,Varus,Nocturne,Taliyah,Kaisa,Leona,1
NA1_5506127934,16.5,Renekton,RekSai,Aurora,Draven,Thresh,Vex,Ekko,Yasuo,Caitlyn,Zyra,1
NA1_5510997931,16.5,Fiora,Nunu,AurelionSol,Lucian,Sona,KSante,JarvanIV,Lux,Kaisa,Bard,0
NA1_5506230001,16.5,Kennen,Naafiri,Veigar,Smolder,Chogath,XinZhao,Kayn,Lux,Xayah,Bard,0
NA1_5508673708,16.5,Kled,Chogath,Ekko,Smolder,Rakan,Malphite,Kayn,Orianna,Ashe,Brand,0
NA1_5507397004,16.5,Fiora,XinZhao,Azir,Ezreal,Seraphine,Sion,Brand,Zed,Sivir,Nautilus,1
NA1_5506784529,16.5,Gnar,Volibear,Renekton,Ezreal,Bard,KSante,Kayn,Fizz,Lucian,Blitzcrank,0
NA1_5507480074,16.5,Garen,Teemo,Kayle,Yunara,Lulu,Vladimir,Ambessa,Malzahar,Twitch,Taric,0
NA1_5509634963,16.5,Fizz,RekSai,Talon,Veigar,Leona,Mordekaiser,Rengar,Nasus,Lucian,Yuumi,1
NA1_5511232802,16.5,Singed,Ekko,Cassiopeia,Twitch,Yuumi,Vayne,Zac,Vladimir,Ezreal,Karma,1
NA1_5505626671,16.5,Garen,Karthus,Yasuo,Varus,Nautilus,Gnar,Kayn,Ahri,Jinx,Seraphine,0
NA1_5511631501,16.5,DrMundo,Hecarim,Zoe,Kaisa,Soraka,Kindred,Rammus,Sion,Aphelios,Nidalee,1
NA1_5510352333,16.5,Quinn,Graves,Anivia,Seraphine,TahmKench,Sett,DrMundo,Ryze,Jinx,Zilean,1
NA1_5510991575,16.5,Yorick,JarvanIV,Ryze,Kalista,Sona,Zaahen,Graves,Anivia,Ezreal,Nami,0
NA1_5511083373,16.5,Singed,LeeSin,Kennen,Caitlyn,Morgana,Sylas,Zeri,Syndra,Jinx,Soraka,1
NA1_5505654784,16.5,Yorick,Volibear,Zed,Caitlyn,Leona,Zaahen,Ekko,Yasuo,Yunara,Bard,1
NA1_5509633058,16.5,Sejuani,MonkeyKing,Mel,Aphelios,Lulu,Singed,Naafiri,Kled,Lucian,Nami,1
NA1_5505591719,16.5,Ornn,Viego,Kassadin,Jinx,Braum,Yasuo,Nunu,Kayle,Kaisa,Pyke,1
NA1_5511191375,16.5,Mordekaiser,MonkeyKing,Sylas,Caitlyn,Janna,Rumble,Belveth,Mel,Sivir,Blitzcrank,0
NA1_5511382287,16.5,Darius,Zac,Ahri,Zeri,Yuumi,Gnar,MasterYi,Fizz,Udyr,Velkoz,0
NA1_5510413327,16.5,Corki,DrMundo,Sylas,MissFortune,Karma,Riven,LeeSin,Neeko,Ezreal,Alistar,0
NA1_5508112959,16.5,FiddleSticks,Malphite,Vi,Lucian,Karma,Rumble,Viego,Orianna,Yasuo,Sylas,0
NA1_5507192082,16.5,Singed,Ambessa,Swain,Corki,Nami,Zaahen,Shaco,Yasuo,Kaisa,Neeko,0
NA1_5507577717,16.5,Gwen,Jayce,Annie,Jinx,Senna,Ornn,LeeSin,Vex,KogMaw,Nami,0
NA1_5510338650,16.5,Shen,Viego,Viktor,Jinx,Nami,Zaahen,Volibear,Naafiri,Jhin,Swain,0
NA1_5509797561,16.5,Malphite,LeeSin,Irelia,Smolder,Nami,Sion,Diana,Lux,Caitlyn,Thresh,0
NA1_5511319501,16.5,Cassiopeia,MasterYi,Taliyah,Tristana,Taric,KogMaw,Nunu,Viktor,Kalista,Blitzcrank,0
NA1_5506114939,16.5,Nasus,RekSai,Mel,Tristana,Yuumi,Ornn,MasterYi,Ryze,Ezreal,Rakan,0
NA1_5510732903,16.5,Nasus,Viego,Annie,Vladimir,Thresh,Ornn,Ambessa,Taliyah,Jinx,Renata,0
NA1_5511617757,16.5,Ambessa,Evelynn,Katarina,Naafiri,Nami,Vi,Udyr,Yone,Jinx,Blitzcrank,0
NA1_5509859936,16.5,Cassiopeia,LeeSin,Katarina,Smolder,Elise,Rumble,Nocturne,Veigar,Ezreal,Sona,1
NA1_5510758518,16.5,Irelia,Viego,KogMaw,Aphelios,Thresh,Vayne,Amumu,Vladimir,Jinx,Milio,0
NA1_5509197152,16.5,Irelia,Vi,Xerath,Kaisa,Senna,Yone,XinZhao,Ahri,Ezreal,Pyke,1
NA1_5511013549,16.5,Malphite,Kindred,Vladimir,Corki,Alistar,Sylas,Evelynn,Qiyana,Lucian,Karma,1
NA1_5510451620,16.5,Nasus,DrMundo,Orianna,Jhin,Maokai,Ornn,Nocturne,Sylas,Zeri,Seraphine,0
NA1_5507028352,16.5,Ezreal,Jayce,Ryze,Draven,FiddleSticks,Varus,Qiyana,Mel,Corki,Senna,0
NA1_5509446134,16.5,Renekton,Graves,Ahri,Smolder,Morgana,Vayne,LeeSin,Neeko,Varus,Leona,1
NA1_5510982440,16.5,Chogath,Talon,Malzahar,Draven,Nami,Vayne,Viego,TwistedFate,Jhin,Bard,0
NA1_5506530979,16.5,Aatrox,Amumu,Sylas,Yunara,Braum,Rumble,Viego,Xerath,Aphelios,Alistar,0
NA1_5510352119,16.5,Darius,Zaahen,Aurora,Jhin,Lux,Jayce,Qiyana,Zoe,Ezreal,Thresh,1
NA1_5509174023,16.5,Mordekaiser,Viego,Orianna,Draven,Seraphine,Renekton,LeeSin,Zac,Samira,Rakan,1
NA1_5511630371,16.5,Camille,Shyvana,Kassadin,Yunara,Nautilus,Jayce,XinZhao,Zoe,Ezreal,Zilean,1
NA1_5511629226,16.5,Aatrox,Karthus,Naafiri,Kaisa,Rell,Kayle,Udyr,Mel,Xayah,Senna,1
NA1_5507876073,16.5,Ambessa,FiddleSticks,Caitlyn,MissFortune,TahmKench,Irelia,Rengar,Xerath,Corki,Alistar,1
NA1_5507710182,16.5,Renekton,Rammus,Yone,Swain,Alistar,Vayne,Graves,Viktor,Ezreal,Rell,0
NA1_5511267002,16.5,Naafiri,Zyra,TwistedFate,Draven,Milio,Ornn,Malphite,Ambessa,Aphelios,Zilean,0
NA1_5510738208,16.5,Garen,RekSai,Ahri,Karthus,Pyke,Riven,DrMundo,Chogath,Tristana,Lulu,1
NA1_5511501627,16.5,Akali,MasterYi,FiddleSticks,Aphelios,Velkoz,Ambessa,Graves,Zac,KogMaw,Sona,1
NA1_5505931207,16.5,Malzahar,LeeSin,Sylas,Caitlyn,Morgana,Mordekaiser,Nocturne,Orianna,Senna,Bard,1
NA1_5510747592,16.5,Ambessa,Graves,Neeko,Lucian,Milio,Volibear,Zaahen,Swain,Corki,Nami,1
NA1_5511031431,16.5,Chogath,Diana,Lissandra,Sett,Senna,Poppy,Teemo,Leblanc,Ezreal,Xerath,0
NA1_5509004721,16.5,Fiora,Sylas,Teemo,Vladimir,Yuumi,Sejuani,Yasuo,Ahri,Ezreal,Nami,1
NA1_5506678216,16.5,Darius,Trundle,Sylas,Mel,Sona,Riven,MonkeyKing,Malzahar,Swain,Senna,0
NA1_5510952935,16.5,Gnar,Taliyah,Naafiri,Ezreal,Neeko,Jayce,Talon,Ornn,Veigar,Karma,0
NA1_5508981617,16.5,Fiora,Diana,Aurora,Tristana,Lulu,Ornn,Graves,Anivia,Yunara,Sona,0
NA1_5511017356,16.5,Illaoi,RekSai,Fizz,Tryndamere,Sona,TahmKench,Graves,Anivia,Karthus,Nami,1
NA1_5508364589,16.5,Riven,Diana,Jayce,Ashe,Aphelios,Vayne,Rengar,Kassadin,Kaisa,Nautilus,0
NA1_5508033132,16.5,Shen,Shaco,Akali,Aphelios,Leona,Yone,FiddleSticks,Fizz,Yunara,Malphite,1
NA1_5509314227,16.5,Akali,Vi,Ryze,Xayah,Renata,Kled,Kindred,Orianna,Ezreal,Heimerdinger,0
NA1_5508591333,16.5,Jax,Nidalee,Zed,Corki,Nami,Malphite,Sejuani,Irelia,Smolder,Bard,0
NA1_5508881209,16.5,Illaoi,Ambessa,Zed,Veigar,Nautilus,Jax,Graves,Lissandra,Samira,Swain,0
NA1_5507584516,16.5,Jax,MasterYi,Akali,Velkoz,Renata,Yone,JarvanIV,Lux,Caitlyn,Nautilus,1
NA1_5509165884,16.5,Fiora,Shen,Mel,Yunara,Lulu,Gangplank,Gwen,Yasuo,Ashe,Nautilus,1
NA1_5510277024,16.5,Riven,LeeSin,Vex,Sivir,Lux,Vladimir,Vi,Galio,Jinx,Yuumi,0
NA1_5509011380,16.5,Garen,Udyr,Malzahar,Swain,Thresh,Yasuo,Khazix,Zoe,Vladimir,Yuumi,1
NA1_5509671206,16.5,DrMundo,LeeSin,Sylas,Sivir,Ekko,Sejuani,Graves,Neeko,Smolder,Thresh,1
NA1_5509020811,16.5,Akali,Kindred,Leblanc,Vladimir,Yuumi,Yorick,Udyr,Zoe,Jinx,Sona,0
NA1_5509400575,16.5,Fiora,Shaco,Katarina,Velkoz,Janna,Shen,Taliyah,Xerath,Draven,Pyke,1
NA1_5509746270,16.5,Gangplank,Nunu,Sylas,Corki,Leona,Yorick,Diana,Jayce,Ezreal,Blitzcrank,1
NA1_5509269502,16.5,Aatrox,Graves,Diana,Yunara,Karma,DrMundo,FiddleSticks,Lux,Smolder,Nami,1
