match_id,patch,team_a_1,team_a_2,team_a_3,team_a_4,team_a_5,team_b_1,team_b_2,team_b_3,team_b_4,team_b_5,team_a_win
NA1_5510563069,16.5,Anivia,Bard,Jax,Jhin,Khazix,Fiora,Graves,Hwei,Irelia,Leona,1
NA1_5507925590,16.5,AurelionSol,LeeSin,Rakan,Smolder,Zilean,Braum,Camille,Elise,Ezreal,Mel,1
NA1_5508054035,16.5,Anivia,Corki,DrMundo,Ivern,Viktor,KogMaw,Nami,Talon,Vayne,Yasuo,1
NA1_5510210885,16.5,Aatrox,Hwei,Maokai,Samira,Zaahen,Ashe,Ekko,Khazix,Sett,Thresh,1
NA1_5510830082,16.5,Ahri,Ambessa,Aphelios,Leona,Viego,Karma,Katarina,Khazix,Qiyana,TwistedFate,0
NA1_5510622055,16.5,Fiora,Sivir,Sylas,Thresh,Zoe,Graves,Irelia,Karma,KogMaw,Zyra,0
NA1_5508393732,16.5,Amumu,Blitzcrank,Darius,Jinx,Zed,Kassadin,Nunu,Seraphine,Sivir,Vayne,0
NA1_5507542973,16.5,Ahri,Amumu,Kaisa,Mordekaiser,Viego,Gangplank,Karthus,Neeko,Senna,Yone,1
NA1_5509487676,16.5,Aatrox,Ahri,Ashe,Belveth,Xerath,Kaisa,Nautilus,Orianna,Qiyana,XinZhao,1
NA1_5507525391,16.5,Ambessa,Diana,DrMundo,Kaisa,Neeko,Ezreal,Hecarim,Karma,Ornn,Sylas,0
NA1_5510808421,16.5,Ahri,Jayce,Nocturne,Soraka,Swain,Lulu,Nunu,Sivir,Taliyah,Varus,0
NA1_5510218647,16.5,Ahri,Janna,Seraphine,Sion,Zaahen,JarvanIV,Malphite,Nilah,Sona,TwistedFate,1
NA1_5506775305,16.5,Ambessa,Corki,Velkoz,Yasuo,Zoe,Irelia,Pyke,Rengar,Ryze,Smolder,0
NA1_5509629091,16.5,Corki,Draven,FiddleSticks,Irelia,Milio,Nocturne,Ornn,Varus,Yasuo,Zoe,1
NA1_5508315584,16.5,Alistar,Ashe,Aurora,Khazix,Shyvana,Diana,Kalista,Nami,Poppy,Qiyana,1
NA1_5509983544,16.5,Ahri,Kaisa,Karma,Kindred,Volibear,Ezreal,Fiora,Janna,Sylas,Teemo,1
NA1_5506797009,16.5,Graves,Kayle,Singed,Sivir,Yuumi,Lucian,Nasus,Nunu,Orianna,Sona,0
NA1_5506627836,16.5,Aatrox,Senna,Shen,Sivir,Xerath,Briar,Jinx,Kayle,Olaf,Thresh,1
NA1_5508804963,16.5,Akshan,Braum,Lucian,Nidalee,RekSai,KSante,Katarina,Leona,Yunara,Zaahen,0
NA1_5507013508,16.5,Akali,Ambessa,Janna,Naafiri,Twitch,Katarina,Teemo,TwistedFate,XinZhao,Yuumi,0
NA1_5509326499,16.5,Aatrox,Kassadin,Kayn,Nami,Zyra,Ahri,Jayce,Jinx,Khazix,Sona,0
NA1_5506373055,16.5,Chogath,Kaisa,Malphite,Nocturne,Seraphine,Kassadin,Pantheon,Pyke,Sylas,Xayah,1
NA1_5507427070,16.5,Ahri,Kalista,Renata,Urgot,Vi,Bard,Graves,Jayce,Khazix,Seraphine,1
NA1_5509722696,16.5,Caitlyn,Diana,Karma,Vayne,Vex,Kassadin,RekSai,Riven,Senna,Yuumi,0
NA1_5509617831,16.5,Galio,Nautilus,Nocturne,Varus,Yone,Mel,Nami,Renekton,Sivir,Volibear,0
NA1_5505710471,16.5,Brand,Ezreal,Naafiri,Nunu,Renekton,Corki,Diana,Fiora,Graves,Zilean,1
NA1_5507625694,16.5,Gwen,Naafiri,Nautilus,Samira,Sylas,Ivern,Mel,Pantheon,Rell,Yone,0
NA1_5509719789,16.5,Akali,Jayce,Sivir,XinZhao,Yuumi,Aphelios,Braum,Graves,Teemo,Yone,1
NA1_5510522792,16.5,Ahri,Ambessa,Blitzcrank,Caitlyn,Nocturne,Jhin,Karthus,Orianna,Renekton,Zilean,1
NA1_5509228610,16.5,Ambessa,Corki,Ekko,Janna,Sejuani,Camille,Ezreal,Leona,Mel,Nunu,1
NA1_5510766380,16.5,Akali,Alistar,Graves,Syndra,Yasuo,Fizz,Naafiri,Renekton,Sivir,Sylas,0
NA1_5509331484,16.5,Alistar,Corki,Nocturne,Ornn,Vladimir,Kennen,Rakan,Singed,Xayah,XinZhao,0
NA1_5507076700,16.5,Corki,Gwen,Malphite,Milio,Yasuo,Kayn,Samira,Thresh,Vladimir,Zoe,0
NA1_5510412410,16.5,Ekko,Nami,Smolder,Sylas,Zaahen,Karma,Nidalee,Pyke,Renekton,Sivir,1
NA1_5509870250,16.5,Aatrox,Aurora,Rakan,Smolder,Vi,Kindred,Pyke,Sion,Talon,Vladimir,0
NA1_5508365986,16.5,Graves,Hwei,Mel,Seraphine,Zaahen,Jayce,Leona,Twitch,Vayne,Viktor,1
NA1_5508234443,16.5,Akali,Khazix,Thresh,Tristana,Urgot,Ezreal,Graves,Lulu,Nunu,Ornn,1
NA1_5509677844,16.5,Aphelios,Leona,Nocturne,Riven,Sylas,Kayn,MissFortune,Naafiri,Renekton,Thresh,1
NA1_5510292767,16.5,Draven,Garen,Katarina,Rengar,Zyra,MissFortune,Seraphine,Sett,Udyr,Zoe,0
NA1_5509734961,16.5,AurelionSol,Fizz,Graves,Poppy,Thresh,LeeSin,Ryze,Seraphine,Varus,Xayah,1
NA1_5509492377,16.5,Ahri,Graves,Sion,Thresh,TwistedFate,Jhin,Qiyana,Renekton,Velkoz,Viktor,1
NA1_5507593782,16.5,Alistar,Irelia,Orianna,Rengar,Viktor,Ekko,FiddleSticks,Kled,Rakan,TahmKench,1
NA1_5509958491,16.5,Amumu,MasterYi,Sion,Xayah,Xerath,Jax,Jinx,Mel,Pyke,Zaahen,1
