match_id,patch,blue_top,blue_jg,blue_mid,blue_adc,blue_sup,red_top,red_jg,red_mid,red_adc,red_sup,blue_top_wr,blue_jg_wr,blue_mid_wr,blue_adc_wr,blue_sup_wr,red_top_wr,red_jg_wr,red_mid_wr,red_adc_wr,red_sup_wr,blue_top_games,blue_jg_games,blue_mid_games,blue_adc_games,blue_sup_games,red_top_games,red_jg_games,red_mid_games,red_adc_games,red_sup_games,blue_avg_wr,red_avg_wr,avg_wr_diff,blue_win
NA1_5513136793,16.5,Garen,LeeSin,Fizz,Aphelios,Pantheon,KSante,Talon,Hwei,Velkoz,Nami,0.5031847133757962,0.85,0.4423076923076923,0.49666666666666665,0.5111111111111111,0.4805194805194805,0.46634615384615385,0.5606060606060606,0.6341463414634146,0.5270935960591133,157,20,104,300,135,77,208,66,41,203,0.5606540366922532,0.5337423264988446,0.026911710193408656,1
NA1_5513052232,16.5,Malphite,Shaco,Orianna,Jhin,Elise,Akali,Nidalee,Syndra,Tryndamere,Nami,0.6132075471698113,0.5343811394891945,0.575,0.5408163265306123,0.5280898876404494,0.46956521739130436,0.7349397590361446,0.5670103092783505,0.5164718384697131,0.5270935960591133,106,509,160,98,178,115,83,291,941,203,0.5582989801660135,0.5630161440469251,-0.00471716388091159,1
NA1_5513042651,16.5,Irelia,Kindred,Malzahar,Varus,Bard,DrMundo,Hecarim,Kayle,Senna,Lulu,0.6225165562913907,0.49640287769784175,0.565,0.6097560975609756,0.5255972696245734,0.5047923322683706,0.4977168949771689,0.4856396866840731,0.5270935960591133,0.503957783641161,151,278,200,41,293,939,219,383,203,379,0.5638545602349563,0.5038400587259774,0.06001450150897891,1
NA1_5512673768,16.5,Jax,XinZhao,Ryze,Ziggs,Brand,Riven,Zaahen,Pantheon,Twitch,Lulu,0.5303030303030303,0.4770992366412214,0.5338645418326693,0.54,0.5,0.5035128805620609,0.5173267326732673,0.5363636363636364,0.5223880597014925,0.5270935960591133,132,262,251,50,36,427,404,220,134,203,0.5162533617553842,0.5213369810719141,-0.005083619316529897,1
NA1_5512651165,16.5,Zaahen,Ekko,Orianna,Caitlyn,Lulu,Aatrox,JarvanIV,Hwei,Lucian,Milio,0.5681818181818182,0.504225352112676,0.5478260869565217,0.64,0.5270935960591133,0.5125,0.5666666666666667,0.4563106796116505,0.4838709677419355,0.5064935064935064,220,355,115,100,203,80,90,103,62,77,0.5574653706620258,0.5051683641027518,0.05229700655927405,1
NA1_5512625205,16.5,Shen,Hecarim,Senna,Vayne,Soraka,Nasus,Shaco,TwistedFate,Jinx,Rakan,0.51440329218107,0.6058394160583942,0.4824561403508772,0.4883720930232558,0.5270935960591133,0.5068493150684932,0.5078740157480315,0.5653846153846154,0.4861111111111111,0.5588235294117647,243,137,228,301,203,365,508,260,72,102,0.5236329075345421,0.5250085173448031,-0.0013756098102610803,0
NA1_5512604129,16.5,Gwen,Vi,Tristana,Lucian,Nami,Sejuani,LeeSin,Kassadin,Sivir,Soraka,0.4824561403508772,0.6058394160583942,0.5184275184275184,0.7058823529411765,0.46411483253588515,0.48704663212435234,0.6904761904761905,0.4980237154150198,0.48596491228070177,0.5270935960591133,228,137,407,17,209,193,42,253,570,203,0.5553440520627703,0.5377210092710756,0.017623042791694687,0
NA1_5512571234,16.5,Chogath,DrMundo,Viktor,Ezreal,Karma,Heimerdinger,Shaco,Orianna,Jinx,Thresh,0.5161290322580645,0.5348837209302325,0.49815043156596794,0.46953405017921146,0.5306122448979592,0.5270935960591133,0.5495049504950495,0.497907949790795,0.4904109589041096,0.5108695652173914,124,129,811,279,147,203,404,239,730,184,0.5098618959662871,0.5151574040932918,-0.005295508127004744,0
NA1_5512538945,16.5,Shen,Nunu,Naafiri,Tristana,Blitzcrank,Vladimir,Malphite,Qiyana,Jhin,Soraka,0.5141700404858299,0.49504950495049505,0.4925373134328358,0.6590909090909091,0.7142857142857143,0.5172413793103449,0.504297994269341,0.5057660626029654,0.5202312138728323,0.5270935960591133,247,101,402,44,14,522,349,607,346,203,0.5750266964491568,0.5149260492229194,0.060100647226237425,0
NA1_5512520248,16.5,Yone,Jax,Ekko,Ezreal,Karma,Quinn,XinZhao,Katarina,Senna,Lulu,0.5454545454545454,0.5166666666666667,0.5057660626029654,0.5773195876288659,0.5270935960591133,0.4861111111111111,0.4691358024691358,0.5275590551181102,0.5949367088607594,0.6666666666666666,198,120,607,97,203,216,162,127,79,24,0.5344600916824314,0.5488818688451567,-0.014421777162725302,0
